Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,IYR,VOX,SPY
2001-12-07,630400.0,5835400.0,3902024.0,201900.0,27460000.0,233700.0,557600.0,100900.0,3421800.0,192200.0,,94495000.0
2001-12-14,3158200.0,3897200.0,5578153.0,134600.0,20964000.0,418000.0,1268600.0,178200.0,3462000.0,183400.0,,86616100.0
2001-12-21,5753800.0,1281000.0,2497330.0,5035200.0,19246200.0,465400.0,505800.0,194600.0,3082400.0,234800.0,,76638600.0
2001-12-28,1362800.0,2537000.0,2548785.0,1588500.0,14506000.0,93600.0,210000.0,438400.0,340600.0,163800.0,,36034700.0
2002-01-04,4010400.0,2601400.0,3813762.0,4061200.0,25030200.0,680300.0,455600.0,270300.0,2736200.0,417200.0,,69155100.0
2002-01-11,1949800.0,2462000.0,5625547.0,2081100.0,14006800.0,850400.0,1508800.0,94200.0,2641600.0,80800.0,,68932300.0
2002-01-18,876800.0,1895600.0,8912441.0,506700.0,13895800.0,313300.0,493600.0,257700.0,2146000.0,72400.0,,83899400.0
2002-01-25,1920400.0,2142000.0,4430123.0,118100.0,17200600.0,2671800.0,976600.0,2034300.0,8270000.0,80000.0,,49081700.0
2002-02-01,4408400.0,3588200.0,46783417.0,867700.0,17232400.0,290400.0,375600.0,196300.0,1938400.0,120800.0,,108769500.0
2002-02-08,15096800.0,5385400.0,34210475.0,6493600.0,17621600.0,847900.0,620400.0,190900.0,6778400.0,162600.0,,130066600.0
2002-02-15,19750000.0,3626600.0,10802025.0,105100.0,8374800.0,442700.0,730800.0,419100.0,5066600.0,141000.0,,88336600.0
2002-02-22,13264600.0,7827200.0,27544980.0,202100.0,11307600.0,580000.0,317000.0,113200.0,2326400.0,116000.0,,98092400.0
2002-03-01,16002200.0,6955000.0,25559868.0,3065200.0,10686200.0,2504100.0,1628200.0,225800.0,2450600.0,213000.0,,118432100.0
2002-03-08,11140400.0,4466600.0,20849324.0,1227100.0,11117200.0,3961000.0,1141800.0,447200.0,2573800.0,722400.0,,109307600.0
2002-03-15,2180400.0,5950000.0,14791080.0,756700.0,6446400.0,948900.0,437400.0,194200.0,3117000.0,420800.0,,82338900.0
2002-03-22,2943200.0,2532200.0,13531891.0,693500.0,9463400.0,506400.0,574000.0,285700.0,1679000.0,79800.0,,93657600.0
2002-03-29,3655200.0,2524800.0,14158223.0,430000.0,10615200.0,493900.0,718800.0,156600.0,2714200.0,197400.0,,74000400.0
2002-04-05,10059800.0,5274200.0,12064662.0,748400.0,7529400.0,709800.0,246200.0,130700.0,1818000.0,178400.0,,101992900.0
2002-04-12,2969200.0,4795800.0,4701436.0,605200.0,9180000.0,358700.0,1451600.0,657300.0,5398600.0,354800.0,,89196400.0
2002-04-19,3420800.0,2654200.0,5534575.0,1161000.0,9540000.0,777000.0,694800.0,532700.0,1905600.0,717200.0,,81059900.0
2002-04-26,7148000.0,4940800.0,14189369.0,1389100.0,8528400.0,476000.0,495600.0,159400.0,1231200.0,427200.0,,95013900.0
2002-05-03,4470200.0,1638200.0,9792113.0,757600.0,8480400.0,1175200.0,731600.0,1217300.0,3009800.0,290600.0,,95625800.0
2002-05-10,5077200.0,2135200.0,7407543.0,814400.0,14461800.0,453100.0,1101800.0,464100.0,2277800.0,381000.0,,110502300.0
2002-05-17,3268000.0,2780800.0,3431658.0,611200.0,15393200.0,483400.0,726000.0,263500.0,2029600.0,227400.0,,134329900.0
2002-05-24,2454600.0,3736600.0,4271078.0,484600.0,10734000.0,567800.0,615200.0,193100.0,2074800.0,155800.0,,72312000.0
2002-05-31,2559000.0,1754600.0,11526592.0,370700.0,6530200.0,452200.0,1493800.0,85600.0,2291400.0,194400.0,,77054400.0
2002-06-07,2517400.0,1381000.0,7181900.0,385700.0,10634600.0,946700.0,2038800.0,368600.0,5473200.0,271800.0,,118618500.0
2002-06-14,3670400.0,1247000.0,10260016.0,209500.0,8462200.0,476200.0,259000.0,360200.0,8288400.0,339800.0,,130328000.0
2002-06-21,3493200.0,3226200.0,12357024.0,501000.0,5024000.0,439400.0,471400.0,332900.0,3737200.0,266000.0,,117698100.0
2002-06-28,2502800.0,2744600.0,21111404.0,718400.0,7578600.0,672500.0,573800.0,1029900.0,5269600.0,541400.0,,168238900.0
2002-07-05,1403400.0,481600.0,11724290.0,274700.0,9513200.0,280800.0,304600.0,347600.0,506800.0,421800.0,,104063400.0
2002-07-12,2662000.0,2982400.0,12422391.0,704900.0,9569200.0,459300.0,661800.0,519200.0,1481800.0,518200.0,,196756600.0
2002-07-19,4283400.0,2939200.0,28774994.0,253900.0,10319000.0,615400.0,1164600.0,197900.0,792800.0,1136800.0,,289709500.0
2002-07-26,3097200.0,19123400.0,27530946.0,435400.0,10908200.0,670800.0,2343800.0,251700.0,1006000.0,2216600.0,,388024300.0
2002-08-02,5826400.0,1573800.0,18353840.0,341700.0,8293000.0,381200.0,1740800.0,389700.0,731600.0,1376600.0,,264039800.0
2002-08-09,2324400.0,1200600.0,12963047.0,394000.0,4305400.0,672400.0,1463200.0,418000.0,1080600.0,1178800.0,,245429700.0
2002-08-16,1401000.0,1711800.0,19732930.0,176600.0,8005800.0,342700.0,1205000.0,336800.0,1251400.0,888600.0,,215024600.0
2002-08-23,1311800.0,3894600.0,8230590.0,157300.0,8521200.0,275700.0,897400.0,263700.0,589000.0,180400.0,,175923300.0
2002-08-30,3242600.0,2856000.0,11526961.0,170300.0,10339200.0,604600.0,913800.0,193600.0,596400.0,187000.0,,181468800.0
2002-09-06,985200.0,2364400.0,6074493.0,266300.0,11431800.0,225600.0,691200.0,192000.0,582600.0,121400.0,,233559000.0
2002-09-13,1375200.0,1257400.0,8776291.0,216800.0,4589800.0,427000.0,1076000.0,124100.0,534800.0,121400.0,,187858900.0
2002-09-20,1812400.0,1090200.0,10711424.0,665800.0,7651800.0,800700.0,2812400.0,279400.0,1367600.0,329200.0,,225332800.0
2002-09-27,5268000.0,3131000.0,12380167.0,873400.0,12562200.0,388400.0,5400000.0,698400.0,831400.0,512200.0,,293981500.0
2002-10-04,2793200.0,2368800.0,21608851.0,519100.0,13727800.0,739700.0,2624000.0,1252900.0,664400.0,546000.0,,321074300.0
2002-10-11,2416200.0,3927200.0,31086813.0,1077800.0,13693200.0,965000.0,14780800.0,1053500.0,999000.0,937200.0,,371732700.0
2002-10-18,4364800.0,2536200.0,17746096.0,1644900.0,13548000.0,1532900.0,8112600.0,1620900.0,3332000.0,626200.0,,301912800.0
2002-10-25,3047000.0,2647200.0,11977261.0,824900.0,14228400.0,828800.0,10638000.0,1199500.0,670600.0,628200.0,,240391200.0
2002-11-01,1608200.0,5282000.0,14656162.0,687300.0,10763000.0,983900.0,4797400.0,676900.0,3014400.0,531600.0,,234112400.0
2002-11-08,497000.0,2058200.0,17409664.0,461300.0,14890000.0,752700.0,3957000.0,594800.0,2715600.0,429400.0,,240841900.0
2002-11-15,536200.0,2794200.0,13836933.0,489300.0,10593200.0,564900.0,8008600.0,242800.0,663200.0,493400.0,,206170000.0
2002-11-22,865400.0,1533800.0,10250536.0,228600.0,16556400.0,582600.0,5215200.0,450200.0,1910800.0,352000.0,,186071800.0
2002-11-29,1037600.0,822800.0,7906959.0,1027300.0,10576800.0,341800.0,3686600.0,1040800.0,776600.0,325400.0,,133280800.0
2002-12-06,1048400.0,3912200.0,6978908.0,1196600.0,17094200.0,1002800.0,6152400.0,351100.0,2551400.0,470000.0,,234909400.0
2002-12-13,1017800.0,2826400.0,4098245.0,1271700.0,12728800.0,272700.0,7174600.0,376700.0,637600.0,200400.0,,180638300.0
2002-12-20,2791600.0,4202600.0,7572865.0,643600.0,18341200.0,1370100.0,6755000.0,593400.0,3771600.0,416200.0,,175506000.0
2002-12-27,978800.0,1725200.0,2901221.0,394300.0,7277800.0,442500.0,2020400.0,246300.0,1403400.0,280000.0,,73227600.0
