model,date,etf,rank,predicted_return,top3_mean_pred,filter_threshold,passes_filter,actual_return,short_pnl_ew,direction_correct
LightGBM,2024-03-29,XLF,11,-0.001862,0.000816,-0.000816,True,-0.030864,0.010288,True
LightGBM,2024-04-26,XLE,9,0.000533,0.003312,-0.003312,False,-0.02653,0.0,True
LightGBM,2024-04-26,XLK,10,2.7e-05,0.003312,-0.003312,False,0.051694,0.0,False
LightGBM,2024-04-26,XLY,11,-0.00055,0.003312,-0.003312,False,0.000341,0.0,False
LightGBM,2024-05-31,IYR,10,-0.002048,-0.000732,0.000732,True,0.018764,-0.006255,False
LightGBM,2024-05-31,XLP,9,-0.00172,-0.000732,0.000732,True,-0.002351,0.000784,True
LightGBM,2024-05-31,XLU,11,-0.005514,-0.000732,0.000732,True,-0.055426,0.018475,True
LightGBM,2024-06-28,IYR,11,-0.00459,-0.002117,0.002117,True,0.064965,-0.021655,False
LightGBM,2024-06-28,XLP,10,-0.003666,-0.002117,0.002117,True,0.024941,-0.008314,False
LightGBM,2024-06-28,XLU,9,-0.00363,-0.002117,0.002117,True,0.044467,-0.014822,False
LightGBM,2024-07-26,XLF,10,0.001583,0.004735,-0.004735,False,0.053674,0.0,False
LightGBM,2024-07-26,XLK,11,0.000273,0.004735,-0.004735,False,0.018726,0.0,False
LightGBM,2024-07-26,XLU,9,0.00162,0.004735,-0.004735,False,0.07194,0.0,False
LightGBM,2024-08-30,IYR,10,-0.00197,0.000801,-0.000801,True,0.023347,-0.007782,False
LightGBM,2024-08-30,XLE,11,-0.001998,0.000801,-0.000801,True,-0.036919,0.012306,True
LightGBM,2024-08-30,XLI,9,-0.000962,0.000801,-0.000801,True,0.028965,-0.009655,False
LightGBM,2024-09-27,IYR,10,-0.002421,0.004199,-0.004199,False,-0.009392,0.0,True
LightGBM,2024-09-27,XLK,9,-0.001101,0.004199,-0.004199,False,0.023056,0.0,False
LightGBM,2024-09-27,XLU,11,-0.003658,0.004199,-0.004199,False,-0.000497,0.0,True
LightGBM,2024-10-25,IYR,9,-0.000295,0.001764,-0.001764,False,0.021058,0.0,False
LightGBM,2024-10-25,XLU,10,-0.000296,0.001764,-0.001764,False,0.031724,0.0,False
LightGBM,2024-10-25,XLY,11,-0.001521,0.001764,-0.001764,False,0.107017,0.0,False
LightGBM,2024-11-29,XLE,9,-0.002455,-0.000679,0.000679,True,-0.107407,0.035802,True
LightGBM,2024-11-29,XLV,10,-0.002712,-0.000679,0.000679,True,-0.053123,0.017708,True
LightGBM,2024-11-29,XLY,11,-0.004184,-0.000679,0.000679,True,0.035427,-0.011809,False
LightGBM,2024-12-27,IYR,9,-0.0062,-0.002062,0.002062,True,,0.0,
LightGBM,2024-12-27,XLE,10,-0.006672,-0.002062,0.002062,True,,0.0,
LightGBM,2024-12-27,XLV,11,-0.008165,-0.002062,0.002062,True,,0.0,
RandomForest,2023-01-27,IYR,8,-2.5e-05,0.000339,-0.000339,False,-0.053536,0.0,True
RandomForest,2023-01-27,XLB,8,-2.5e-05,0.000339,-0.000339,False,-0.026499,0.0,True
RandomForest,2023-01-27,XLF,8,-2.5e-05,0.000339,-0.000339,False,-0.016276,0.0,True
RandomForest,2023-02-24,IYR,8,-8.3e-05,5.1e-05,-5.1e-05,True,-0.018355,0.006118,True
RandomForest,2023-02-24,XLB,8,-8.3e-05,5.1e-05,-5.1e-05,True,-0.002207,0.000736,True
RandomForest,2023-02-24,XLF,8,-8.3e-05,5.1e-05,-5.1e-05,True,-0.093955,0.031318,True
RandomForest,2023-03-31,VOX,10,-0.000259,-6e-05,6e-05,True,0.023172,-0.007724,False
RandomForest,2023-03-31,XLK,11,-0.002913,-6e-05,6e-05,True,-0.001192,0.000397,True
RandomForest,2023-03-31,XLY,9,-0.000225,-6e-05,6e-05,True,-0.011235,0.003745,True
RandomForest,2023-04-28,IYR,6,3e-06,3e-06,-3e-06,False,-0.04937,0.0,True
RandomForest,2023-04-28,VOX,6,3e-06,3e-06,-3e-06,False,0.02568,0.0,False
RandomForest,2023-04-28,XLB,6,3e-06,3e-06,-3e-06,False,-0.053507,0.0,True
RandomForest,2023-05-26,IYR,7,-0.00098,-0.000837,0.000837,True,0.067508,-0.022503,False
RandomForest,2023-05-26,VOX,7,-0.00098,-0.000837,0.000837,True,0.050647,-0.016882,False
RandomForest,2023-05-26,XLK,11,-0.00498,-0.000837,0.000837,True,0.057314,-0.019105,False
RandomForest,2023-06-30,IYR,6,-0.000222,-0.000207,0.000207,True,0.011671,-0.00389,False
RandomForest,2023-06-30,VOX,6,-0.000222,-0.000207,0.000207,True,0.056345,-0.018782,False
RandomForest,2023-06-30,XLU,11,-0.000307,-0.000207,0.000207,True,0.02445,-0.00815,False
RandomForest,2023-07-28,IYR,6,-0.000142,-0.000127,0.000127,True,-0.042947,0.014316,True
RandomForest,2023-07-28,VOX,6,-0.000142,-0.000127,0.000127,True,-0.060463,0.020154,True
RandomForest,2023-07-28,XLB,6,-0.000142,-0.000127,0.000127,True,-0.052422,0.017474,True
RandomForest,2023-08-25,IYR,5,-0.000222,-0.000222,0.000222,True,-0.056825,0.018942,True
RandomForest,2023-08-25,VOX,5,-0.000222,-0.000222,0.000222,True,0.000294,-9.8e-05,False
RandomForest,2023-08-25,XLU,11,-0.000305,-0.000222,0.000222,True,-0.06636,0.02212,True
RandomForest,2023-09-29,IYR,6,-0.00022,0.000585,-0.000585,False,-0.057845,0.0,True
RandomForest,2023-09-29,VOX,6,-0.00022,0.000585,-0.000585,False,-0.04259,0.0,True
RandomForest,2023-09-29,XLE,11,-0.001166,0.000585,-0.000585,True,-0.063724,0.021241,True
