date,etf,ret_1m,ret_3m,ret_6m,ret_12m,momentum_12_1,vol_6m,Unemployment,FedFunds,YieldSpread,CPI_YoY,IndProd_YoY,Unemp_Chg,FedFunds_Chg,Mkt-RF,SMB,HML,RMW,CMA,RF,spy_return,target,market_regime
2021-07-31,XLE,-0.07379317653444,0.0150980597727944,0.2759727006126357,0.4425449242924887,0.5163381008269288,0.3398126699236854,5.4,0.1,1.05,0.0524516938130923,0.0549988634641613,-0.5,0.02,0.0134,-0.0455,-0.0179,0.055,-0.0059,0.0,0.0277638957072798,-0.0200444823685814,2
2021-08-31,XLE,-0.0200444823685814,-0.0620429866815673,0.0313608093229847,0.4330471900971657,0.4530916724657472,0.1596077923750684,5.1,0.09,1.1,0.0515201530179396,0.0426116852813145,-0.3000000000000007,-0.01,0.0295,-0.0066,-0.0023,-0.0026,-0.0172,0.0,0.0297598696646097,0.0762396274170054,2
2021-09-30,XLE,0.0762396274170054,-0.0175980314860161,0.0887009639770631,0.6691745997711136,0.5929349723541082,0.1892448172350754,4.7,0.08,1.24,0.0535121559094913,0.0301249701720072,-0.3999999999999994,-0.0099999999999999,-0.044,0.0112,0.0512,-0.0192,0.02,0.0,-0.0496500709453185,0.1166865791556965,1
2021-10-31,XLE,0.1166865791556965,0.1728817242041205,0.1879797839769149,0.8111533963799412,0.6944668172242446,0.2382786855844893,4.5,0.08,1.07,0.0623504239029806,0.0356287097087639,-0.2000000000000001,0.0,0.0663,-0.027,-0.0053,0.0171,-0.0154,0.0,0.0735920454581575,-0.0501129926887449,1
2021-11-30,XLE,-0.0501129926887449,0.142813213883957,0.0807702272023896,0.4810963113570451,0.53120930404579,0.2578853745572131,4.1,0.08,0.91,0.0690197040370086,0.0389754598193683,-0.4000000000000003,0.0,-0.0158,-0.017,-0.0037,0.0719,0.017,0.0,-0.0080348812896078,0.0166697096428851,1
2021-12-31,XLE,0.0166697096428851,0.0832432961098368,0.0656452646238207,0.4667540055057052,0.45008429586282,0.2561863096174578,3.9,0.08,0.79,0.0717434028506553,0.0224637312810711,-0.1999999999999997,0.0,0.0324,-0.0078,0.0325,0.0487999999999999,0.0429,0.0001,0.0425850208346199,0.203126963582584,1
2022-01-31,XLE,0.203126963582584,0.1696836805367243,0.3425654047408448,0.6185381053534805,0.4154111417708964,0.3261457281144285,4.0,0.08,0.61,0.0755880572696783,0.0131813410300336,0.1,0.0,-0.0615,-0.0401,0.1286,0.0077,0.0773,0.0,-0.0494132792538812,0.0706917815936083,1
2022-02-28,XLE,0.0706917815936083,0.2904884548190776,0.4333016687030346,0.4646624780260194,0.3939706964324111,0.2987317128203,3.9,0.08,0.39,0.0793727876651781,0.0542959308643318,-0.1,0.0,-0.0227999999999999,0.0286,0.0306,-0.0203,0.0302999999999999,0.0,-0.0295170558869003,0.0830266208894472,1
2022-03-31,XLE,0.0830266208894472,0.3568453660656396,0.4400886621754765,0.5287896261525397,0.4457630052630924,0.2991050183882754,3.7,0.2,0.04,0.0857220496601385,0.0305441040152216,-0.1999999999999997,0.12,0.0308,-0.0210999999999999,-0.019,-0.015,0.0321,0.0,0.0343768368451133,-0.0074721319852033,1
2022-04-30,XLE,-0.0074721319852033,0.1462462704978522,0.3159299510345765,0.5039097350114915,0.5113818669966949,0.3073540477595121,3.7,0.33,0.19,0.0823175077077722,0.029234354755085,0.0,0.13,-0.0941,-0.0034999999999999,0.0617999999999999,0.0341,0.0592,0.0,-0.0849350331331235,0.1603460487670935,0
2022-05-31,XLE,0.1603460487670935,0.2359005376713374,0.526388992490415,0.6071592196928047,0.4468131709257111,0.2814888268795111,3.6,0.77,0.32,0.0853817119564206,0.0191102980591009,-0.1,0.44,-0.0033,-0.0003,0.0843999999999999,0.0155,0.0395,0.0003,0.0022571467335852,-0.1799312377947087,0
2022-06-30,XLE,-0.1799312377947087,-0.0270573210128185,0.3297880450528211,0.3954333096766418,0.5753645474713506,0.4728633386461119,3.6,1.21,0.06,0.0897936110310579,0.0122175940167557,0.0,0.4399999999999999,-0.084,0.0133,-0.06,0.0176,-0.0458,0.0006,-0.0864068332376345,0.1089276410278425,0
2022-07-31,XLE,0.1089276410278425,0.0893424520002273,0.2355887224980796,0.5781541272389245,0.4692264862110819,0.4175574005829684,3.5,1.68,-0.22,0.0846257672773009,0.0096865994559702,-0.1,0.47,0.0957,0.0178,-0.0415,0.0077,-0.0684999999999999,0.0008,0.0968050365897201,0.0265237114037011,0
2022-08-31,XLE,0.0265237114037011,-0.044479885363165,0.1914206523081724,0.6247223210112071,0.5981986096075059,0.4142379570646298,3.6,2.33,-0.3,0.0822257917821882,0.0105214021472617,0.1,0.6500000000000001,-0.0377,0.0149,0.0018,-0.0478,0.0132,0.0019,-0.0408018623550826,-0.1053416300263202,0
2022-09-30,XLE,-0.1053416300263202,0.0301097224052234,0.0030524013924049,0.4431410635678814,0.5484826935942017,0.4430963313322348,3.5,2.56,-0.39,0.0819210689642582,0.024620187157526,-0.1,0.2299999999999999,-0.0934,-0.0097,0.0003,-0.0137,-0.0077,0.0019,-0.0961588190032727,0.2632778902819177,0
2022-10-31,XLE,0.2632778902819177,0.1844599716592986,0.273802423659526,0.5897323746941026,0.3264544844121848,0.5766919231555105,3.6,3.08,-0.41,0.07758813957693,0.0106481837300782,0.1,0.52,0.0786,0.0181,0.0797,0.0327,0.0643,0.0023,0.0857171265964864,0.0127778975390666,0
2022-11-30,XLE,0.0127778975390666,0.1707141577946641,0.1262342724314991,0.6526232649219141,0.6398453673828475,0.543021593349407,3.6,3.78,-0.7,0.0712285645653398,0.000890295383749,0.0,0.6999999999999997,0.0469,-0.0275,0.0148,0.063,0.0315,0.0029,0.0555917942584185,-0.040373085620486,0
2022-12-31,XLE,-0.040373085620486,0.2356827022004983,0.2657924246057218,0.5955804696585429,0.635953555279029,0.446317832902492,3.5,4.1,-0.53,0.0640460040235715,-0.0080160998124736,-0.1,0.3199999999999998,-0.0638,-0.0019,0.0134,0.0032,0.0428,0.0033,-0.0619358444386327,0.0387129623081818,0
